momset,momnum,naics,region,gravity,davgrid,dav,orderedvio,laginv,violation,modelmoment1
2,1042,21,3,1,2,1,1,1,0,1.392e-14
2,1062,21,3,1,2,1,1,1,1,3.790e-15
2,1082,21,3,1,2,1,2,1,0,1.407e-44
2,1102,21,3,1,2,1,2,1,1,1.907e-40
2,1122,21,3,2,2,1,1,0,0,3.065e-11
2,1142,21,3,2,2,1,1,0,1,6.413e-13
2,1162,21,3,2,2,1,2,0,0,1.425e-54
2,1182,21,3,2,2,1,2,0,1,8.368e-51
2,1202,21,3,2,2,1,1,1,0,4.460e-14
2,1222,21,3,2,2,1,1,1,1,2.267e-14
2,1242,21,3,2,2,1,2,1,0,1.919e-50
2,1262,21,3,2,2,1,2,1,1,4.861e-45
2,1282,21,3,3,2,1,1,0,0,1.208e-11
2,1302,21,3,3,2,1,1,0,1,1.781e-13
2,1322,21,3,3,2,1,2,0,0,6.280e-49
2,1342,21,3,3,2,1,2,0,1,3.280e-45
2,1362,21,3,3,2,1,1,1,0,1.906e-14
2,1382,21,3,3,2,1,1,1,1,5.269e-15
2,1402,21,3,3,2,1,2,1,0,1.039e-45
2,1422,21,3,3,2,1,2,1,1,2.361e-41
2,1442,21,3,4,2,1,1,0,0,-1.964e-11
2,1462,21,3,4,2,1,1,0,1,-2.366e-13
2,1482,21,3,4,2,1,2,0,0,1.307e-48
2,1502,21,3,4,2,1,2,0,1,4.476e-45
2,1522,21,3,4,2,1,1,1,0,-2.224e-14
2,1542,21,3,4,2,1,1,1,1,-4.579e-15
2,1562,21,3,4,2,1,2,1,0,-4.224e-45
2,1582,21,3,4,2,1,2,1,1,-6.405e-41
2,1602,21,3,5,2,1,1,0,0,-1.087e-11
2,1622,21,3,5,2,1,1,0,1,-1.315e-13
2,1642,21,3,5,2,1,2,0,0,1.606e-47
2,1662,21,3,5,2,1,2,0,1,3.070e-43
2,1682,21,3,5,2,1,1,1,0,-1.291e-14
2,1702,21,3,5,2,1,1,1,1,-2.752e-15
2,1722,21,3,5,2,1,2,1,0,-6.159e-44
2,1742,21,3,5,2,1,2,1,1,-3.126e-39
2,1762,21,4,1,2,1,1,0,0,9.380e-12
2,1782,21,4,1,2,1,1,0,1,1.133e-13
2,1802,21,4,1,2,1,2,0,0,4.474e-47
2,1822,21,4,1,2,1,2,0,1,6.544e-44
2,1842,21,4,1,2,1,1,1,0,-3.325e-15
2,1862,21,4,1,2,1,1,1,1,-1.227e-15
2,1882,21,4,1,2,1,2,1,0,-1.302e-48
2,1902,21,4,1,2,1,2,1,1,-6.222e-44
2,1922,21,4,2,2,1,1,0,0,-7.658e-13
2,1942,21,4,2,2,1,1,0,1,-1.498e-14
2,1962,21,4,2,2,1,2,0,0,4.180e-53
2,1982,21,4,2,2,1,2,0,1,4.456e-51
2,2002,21,4,2,2,1,1,1,0,-2.357e-15
2,2022,21,4,2,2,1,1,1,1,-1.365e-15
2,2042,21,4,2,2,1,2,1,0,-6.885e-55
2,2062,21,4,2,2,1,2,1,1,-5.414e-51
2,2082,21,4,3,2,1,1,0,0,5.913e-12
2,2102,21,4,3,2,1,1,0,1,8.014e-14
2,2122,21,4,3,2,1,2,0,0,2.660e-48
2,2142,21,4,3,2,1,2,0,1,2.877e-45
2,2162,21,4,3,2,1,1,1,0,4.108e-15
2,2182,21,4,3,2,1,1,1,1,1.329e-15
2,2202,21,4,3,2,1,2,1,0,7.875e-50
2,2222,21,4,3,2,1,2,1,1,3.904e-45
2,2242,21,4,4,2,1,1,0,0,1.406e-12
2,2262,21,4,4,2,1,1,0,1,1.609e-14
2,2282,21,4,4,2,1,2,0,0,6.991e-49
2,2302,21,4,4,2,1,2,0,1,5.308e-46
2,2322,21,4,4,2,1,1,1,0,8.169e-16
2,2342,21,4,4,2,1,1,1,1,2.206e-16
2,2362,21,4,4,2,1,2,1,0,9.029e-51
2,2382,21,4,4,2,1,2,1,1,3.552e-46
2,2402,21,4,5,2,1,1,0,0,6.248e-12
2,2422,21,4,5,2,1,1,0,1,7.150e-14
2,2442,21,4,5,2,1,2,0,0,3.759e-48
2,2462,21,4,5,2,1,2,0,1,1.259e-44
2,2482,21,4,5,2,1,1,1,0,-7.907e-15
2,2502,21,4,5,2,1,1,1,1,-2.366e-15
2,2522,21,4,5,2,1,2,1,0,-6.505e-49
2,2542,21,4,5,2,1,2,1,1,-9.568e-44
2,2562,21,5,1,2,1,1,0,0,4.776e-12
2,2582,21,5,1,2,1,1,0,1,2.009e-14
2,2602,21,5,1,2,1,2,0,0,3.243e-41
2,2622,21,5,1,2,1,2,0,1,6.395e-37
2,2642,21,5,1,2,1,1,1,0,6.963e-16
2,2662,21,5,1,2,1,1,1,1,7.815e-17
2,2682,21,5,1,2,1,2,1,0,9.157e-40
2,2702,21,5,1,2,1,2,1,1,5.813e-35
2,2722,21,5,2,2,1,1,0,0,-2.432e-12
