obs, invprob, loglike
3427, 0.133529, -2.01343
3429, 0.19451, -1.63727
3430, 0.139281, -1.97126
3431, 0.136586, -0.146861
3432, 0.220611, -1.51135
3433, 0.145942, -1.92454
3434, 0.142661, -0.153922
3435, 0.241615, -0.276564
3436, 0.23105, -1.46512
3437, 0.14839, -1.90791
3438, 0.144895, -1.93175
3439, 0.0457558, -0.0468357
3440, 0.0467831, -0.0479128
3441, 0.0473862, -3.04942
3442, 0.0517224, -0.053108
3443, 0.0505926, -2.98395
3444, 0.0503613, -2.98853
3446, 0.0473862, -0.0485458
3447, 0.0473862, -3.04942
3450, 0.0510905, -0.0524419
3451, 0.188793, -1.6671
3452, 0.150789, -0.163447
3453, 0.224151, -1.49544
3463, 0.0510905, -0.0524419
3464, 0.0505926, -0.0519173
3465, 0.0501779, -0.0514806
3466, 0.0498047, -0.0510877
3467, 0.0494688, -3.00641
3508, 0.0473862, -0.0485458
3552, 0.148238, -1.90894
3575, 0.0507577, -0.0520911
3576, 0.164002, -0.179129
3577, 0.161249, -0.175841
3578, 0.158772, -0.172892
3579, 0.156542, -0.170245
3580, 0.154535, -0.167869
3581, 0.152729, -1.87909
3589, 0.047253, -0.0484059
3611, 0.045288, -0.0463456
3612, 0.0453138, -3.09414
3613, 0.0401299, -0.0409573
3614, 0.0453709, -0.0464324
3615, 0.0453952, -0.0464578
3616, 0.0454171, -0.0464808
3617, 0.0501779, -0.0514806
3618, 0.0498047, -0.0510877
3623, 0.153925, -0.167147
3624, 0.153925, -0.167147
3625, 0.153925, -0.167147
3626, 0.153925, -0.167147
3627, 0.153925, -0.167147
3628, 0.153925, -0.167147
3629, 0.193092, -0.214546
3630, 0.188793, -0.209232
3631, 0.233483, -1.45465
3632, 0.0597228, -0.0615806
3633, 0.0553552, -0.0569463
3634, 0.0537457, -0.0552439
3635, 0.0527539, -0.0541963
3636, 0.196738, -0.219074
3637, 0.241433, -0.276324
3638, 0.231098, -1.46491
3639, 0.0591278, -2.82805
3644, 0.0465295, -3.06767
3645, 0.0405239, -0.0413679
3646, 0.0465295, -0.0476468
3647, 0.0465295, -0.0476468
3648, 0.0465295, -0.0476468
3649, 0.0465295, -0.0476468
3650, 0.0465295, -0.0476468
3651, 0.0465295, -0.0476468
3652, 0.0465295, -0.0476468
3653, 0.0465295, -0.0476468
3654, 0.0465295, -0.0476468
3655, 0.0465295, -0.0476468
3656, 0.0465295, -0.0476468
3657, 0.0465295, -0.0476468
3658, 0.0465295, -0.0476468
3659, 0.0465295, -0.0476468
3660, 0.0465295, -0.0476468
3661, 0.0465295, -0.0476468
3662, 0.0465295, -0.0476468
3663, 0.0465295, -0.0476468
3664, 0.0465295, -0.0476468
3665, 0.0465295, -0.0476468
3666, 0.0465295, -0.0476468
3667, 0.0465295, -0.0476468
3668, 0.0465295, -0.0476468
3669, 0.0465295, -0.0476468
3670, 0.0465295, -0.0476468
3807, 0.193092, -0.214546
3808, 0.188793, -0.209232
3809, 0.185118, -0.204712
3810, 0.18181, -1.70479
3821, 0.153925, -1.87129
3823, 0.0473862, -0.0485458
3824, 0.0473862, -0.0485458
