NAICS, region, gravity, DAVgrid, DAV, orderedvio, laginv, violation, value
21, 1, 5, 19, 9.5, 1, 1, 1, -64.6289
21, 1, 5, 0, 0, 2, 1, 0, -0.780154
21, 1, 5, 1, 0.5, 2, 1, 0, -0.954216
21, 1, 5, 2, 1, 2, 1, 0, -1.19568
21, 1, 5, 3, 1.5, 2, 1, 0, -1.52546
21, 1, 5, 4, 2, 2, 1, 0, -1.98581
21, 1, 5, 5, 2.5, 2, 1, 0, -2.62867
21, 1, 5, 6, 3, 2, 1, 0, -3.52251
21, 1, 5, 7, 3.5, 2, 1, 0, -4.75015
21, 1, 5, 8, 4, 2, 1, 0, -6.40228
21, 1, 5, 9, 4.5, 2, 1, 0, -8.57451
21, 1, 5, 10, 5, 2, 1, 0, -11.3572
21, 1, 5, 11, 5.5, 2, 1, 0, -14.9178
21, 1, 5, 12, 6, 2, 1, 0, -19.2134
21, 1, 5, 13, 6.5, 2, 1, 0, -24.1033
21, 1, 5, 14, 7, 2, 1, 0, -29.4304
21, 1, 5, 15, 7.5, 2, 1, 0, -35.0317
21, 1, 5, 16, 8, 2, 1, 0, -40.748
21, 1, 5, 17, 8.5, 2, 1, 0, -46.4313
